Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07, Ch08, Ch09
30.5,406.48886108398438,3.5332596302032471,0.12350176274776459,-4.5814895629882812,-95.694602966308594,-1.1900581121444702,2.066371962428093e-09,0.1534552276134491,0
30.504,335.94009399414062,-10.681643486022949,-17.918054580688477,-16.680233001708984,-131.42179870605469,-12.364723205566406,2.066371962428093e-09,0.0054148188792169094,0
30.508,296.80410766601562,5.755307674407959,5.7262115478515625,14.826169013977051,-122.29952239990234,-2.6293411254882812,2.066371962428093e-09,-0.12614865601062775,0
30.512,252.72102355957031,13.352358818054199,13.740237236022949,20.970180511474609,-127.70822906494141,6.1635451316833496,2.066371962428093e-09,-0.40440988540649414,0
30.516,191.80085754394531,-4.7065763473510742,-8.8112010955810547,-7.1537117958068848,-161.60238647460938,-5.4556541442871094,2.066371962428093e-09,-0.70532941818237305,0
30.52,155.988525390625,-4.8069267272949219,-3.6207771301269531,0.24069948494434357,-149.95320129394531,-9.6938915252685547,2.066371962428093e-09,-0.63299101591110229,0
30.524,141.90251159667969,14.462651252746582,22.781002044677734,27.891687393188477,-81.023292541503906,3.6619942188262939,2.066371962428093e-09,-0.19268739223480225,0
30.528,103.26597595214844,9.4775571823120117,17.140834808349609,12.488072395324707,-34.438709259033203,3.1741282939910889,2.066371962428093e-09,0.18928329646587372,0
30.532,46.334545135498047,-5.6407270431518555,7.4739875793457031,-7.6414260864257812,-47.784385681152344,-11.364605903625488,2.066371962428093e-09,0.28149804472923279,0
30.536,-5.0548081398010254,8.4627914428710938,35.212455749511719,18.697092056274414,-84.705665588378906,-7.4500336647033691,2.066371962428093e-09,0.36055582761764526,0
30.54,-82.7740478515625,20.287563323974609,46.104454040527344,32.532562255859375,-138.87716674804688,2.9225380420684814,2.066371962428093e-09,0.46882504224777222,0
30.544,-195.95707702636719,-1.1510931253433228,8.2982454299926758,2.5444118976593018,-225.52876281738281,-8.2008237838745117,2.066371962428093e-09,0.38862061500549316,0
