Time, Ch01, Ch02, Ch03, Ch04, Ch05
16.504,-32493.787109375,4.9461135864257812,24.464040756225586,12.675603866577148,15.328100204467773
16.508,-33171.84375,5.8770575523376465,34.539806365966797,13.345306396484375,15.328100204467773
16.512,-32829.48046875,6.704010009765625,44.943748474121094,14.233543395996094,15.328100204467773
16.516,-32398.55859375,7.4079756736755371,54.878105163574219,15.328100204467773,15.328100204467773
16.52,-32425.953125,7.9727616310119629,63.564929962158203,16.599395751953125,15.328100204467773
16.524,-33100.8671875,8.3853483200073242,70.314064025878906,18.002548217773438,15.328100204467773
16.528,-32918.5234375,8.6360244750976562,74.580917358398438,19.480800628662109,15.328100204467773
16.532,-32443.287109375,8.718714714050293,76.015975952148438,20.970184326171875,15.328100204467773
16.536,-32380.130859375,8.6313199996948242,74.499679565429688,22.404918670654297,15.328100204467773
16.54,-32988.38671875,8.3756484985351562,70.1514892578125,23.723093032836914,15.328100204467773
16.544,-33011.4375,7.9572081565856934,63.317161560058594,24.871959686279297,15.328100204467773
16.548,-32509.28125,7.3851423263549805,54.540332794189453,25.812540054321289,15.328100204467773
16.552,-32353.1875,6.6720709800720215,44.516532897949219,26.522954940795898,15.328100204467773
16.556,-32844.42578125,5.8336129188537598,34.031036376953125,27.000228881835938,27.000228881835938
16.56,-33101.80078125,4.8880033493041992,23.892574310302734,27.260360717773438,27.000228881835938
16.564,-32586.865234375,3.8557536602020264,14.866836547851562,27.336694717407227,27.000228881835938
16.568,-32340.150390625,2.7590148448944092,7.6121625900268555,27.276699066162109,27.000228881835938
16.572,-32694.962890625,1.6209396123886108,2.6274452209472656,27.137527465820312,27.000228881835938
16.576,-33184.86328125,0.46528530120849609,0.21649043262004852,26.980663299560547,27.000228881835938
16.58,-32669.09375,-0.68414294719696045,0.46805158257484436,26.866250991821289,27.000228881835938
16.584,-32336.693359375,-1.8043009042739868,3.2555019855499268,26.847604751586914,27.000228881835938
16.588,-32586.83984375,-2.8734030723571777,8.2564449310302734,26.966442108154297,27.000228881835938
16.592,-33202.9375,-3.8711700439453125,14.985957145690918,27.249181747436523,27.000228881835938
16.596,-32743.005859375,-4.7792930603027344,22.841640472412109,27.704681396484375,27.704681396484375
16.6,-32360.916015625,-5.5818967819213867,31.157571792602539,28.323684692382812,27.704681396484375
16.604,-32492.08984375,-6.265683650970459,39.2587890625,29.079906463623047,27.704681396484375
16.608,-33162.86328125,-6.8200712203979492,46.51336669921875,29.932653427124023,27.704681396484375
16.612,-32825.875,-7.2374558448791504,52.380767822265625,30.830810546875,27.704681396484375
16.616,-32395.19921875,-7.5132203102111816,56.448478698730469,31.717721939086914,27.704681396484375
16.62,-32432.05859375,-7.6456084251403809,58.455333709716797,32.536510467529297,27.704681396484375
16.624,-33095.60546875,-7.6358528137207031,58.306243896484375,33.235401153564453,27.704681396484375
16.628,-32915.45703125,-7.4883017539978027,56.074665069580078,33.772575378417969,27.704681396484375
16.632,-32452.728515625,-7.2100896835327148,51.985393524169922,34.119953155517578,27.704681396484375
16.636,-32379.369140625,-6.8107223510742188,46.385944366455078,34.265605926513672,34.265605926513672
16.64,-32979.23046875,-6.3019156455993652,39.714141845703125,34.214622497558594,34.265605926513672
16.644,-33003.45703125,-5.6973366737365723,32.459644317626953,33.988304138183594,34.265605926513672
16.648,-32524.587890625,-5.012049674987793,25.120641708374023,33.621723175048828,34.265605926513672
16.652,-32350.662109375,-4.2621335983276367,18.165782928466797,33.160053253173828,34.265605926513672
16.656,-32830.1171875,-3.4644806385040283,12.002627372741699,32.653942108154297,34.265605926513672
16.66,-33100.23046875,-2.6363101005554199,6.9501304626464844,32.154315948486328,34.265605926513672
16.664,-32598.59375,-1.7946306467056274,3.2206988334655762,31.707271575927734,34.265605926513672
16.668,-32338.193359375,-0.95606410503387451,0.91405856609344482,31.349538803100586,34.265605926513672
